類型,觀光遊憩區,細分,縣市,縣市別,name,space_name
國家公園,陽明山國家公園,陽明山遊客中心,臺北市,63000,臺北市陽明山遊客中心,臺北市 陽明山遊客中心
國家公園,陽明山國家公園,陽明書屋,臺北市,63000,臺北市陽明書屋,臺北市 陽明書屋
國家公園,陽明山國家公園,陽明公園,臺北市,63000,臺北市陽明公園,臺北市 陽明公園
國家公園,陽明山國家公園,大屯遊憩區,臺北市,63000,臺北市大屯遊憩區,臺北市 大屯遊憩區
國家公園,陽明山國家公園,龍鳳谷遊憩區,臺北市,63000,臺北市龍鳳谷遊憩區,臺北市 龍鳳谷遊憩區
國家公園,陽明山國家公園,小油坑遊憩區,臺北市,63000,臺北市小油坑遊憩區,臺北市 小油坑遊憩區
國家級風景特定區,東北角暨宜蘭海岸國家風景區,鼻頭港服務區,新北市,65000,新北市鼻頭港服務區,新北市 鼻頭港服務區
國家級風景特定區,東北角暨宜蘭海岸國家風景區,龍洞灣公園,新北市,65000,新北市龍洞灣公園,新北市 龍洞灣公園
國家級風景特定區,東北角暨宜蘭海岸國家風景區,龍洞南口海洋公園,新北市,65000,新北市龍洞南口海洋公園,新北市 龍洞南口海洋公園
國家級風景特定區,東北角暨宜蘭海岸國家風景區,福隆遊客服務中心,新北市,65000,新北市福隆遊客服務中心,新北市 福隆遊客服務中心
國家級風景特定區,東北角暨宜蘭海岸國家風景區,龍門露營區,新北市,65000,新北市龍門露營區,新北市 龍門露營區
國家級風景特定區,東北角暨宜蘭海岸國家風景區,鹽寮海濱公園,新北市,65000,新北市鹽寮海濱公園,新北市 鹽寮海濱公園
國家級風景特定區,東北角暨宜蘭海岸國家風景區,鼻頭角步道,新北市,65000,新北市鼻頭角步道,新北市 鼻頭角步道
國家級風景特定區,東北角暨宜蘭海岸國家風景區,舊草嶺隧道,新北市,65000,新北市舊草嶺隧道,新北市 舊草嶺隧道
國家級風景特定區,東北角暨宜蘭海岸國家風景區,草嶺古道系統(含遠望坑親水公園),新北市,65000,新北市草嶺古道系統(含遠望坑親水公園),新北市 草嶺古道系統(含遠望坑親水公園)
國家級風景特定區,東北角暨宜蘭海岸國家風景區,福隆蔚藍海岸,新北市,65000,新北市福隆蔚藍海岸,新北市 福隆蔚藍海岸
國家級風景特定區,北海岸及觀音山國家風景區,野柳地質公園,新北市,65000,新北市野柳地質公園,新北市 野柳地質公園
國家級風景特定區,北海岸及觀音山國家風景區,白沙灣,新北市,65000,新北市白沙灣,新北市 白沙灣
國家級風景特定區,北海岸及觀音山國家風景區,翡翠灣濱海遊憩區,新北市,65000,新北市翡翠灣濱海遊憩區,新北市 翡翠灣濱海遊憩區
國家級風景特定區,北海岸及觀音山國家風景區,觀音山,新北市,65000,新北市觀音山,新北市 觀音山
國家級風景特定區,北海岸及觀音山國家風景區,野柳海洋世界,新北市,65000,新北市野柳海洋世界,新北市 野柳海洋世界
國家級風景特定區,北海岸及觀音山國家風景區,金山遊憩區,新北市,65000,新北市金山遊憩區,新北市 金山遊憩區
國家級風景特定區,北海岸及觀音山國家風景區,三芝遊憩區,新北市,65000,新北市三芝遊憩區,新北市 三芝遊憩區
直轄市及縣(市)級風景特定區, -,烏來風景特定區,新北市,65000,新北市烏來風景特定區,新北市 烏來風景特定區
直轄市及縣(市)級風景特定區, -,碧潭風景特定區,新北市,65000,新北市碧潭風景特定區,新北市 碧潭風景特定區
直轄市及縣(市)級風景特定區, -,瑞芳風景特定區,新北市,65000,新北市瑞芳風景特定區,新北市 瑞芳風景特定區
森林遊樂區, -,滿月圓國家森林遊樂區,新北市,65000,新北市滿月圓國家森林遊樂區,新北市 滿月圓國家森林遊樂區
森林遊樂區, -,內洞國家森林遊樂區,新北市,65000,新北市內洞國家森林遊樂區,新北市 內洞國家森林遊樂區
博物館, -,國立故宮博物院,臺北市,63000,臺北市國立故宮博物院,臺北市 國立故宮博物院
博物館, -,市立美術館,臺北市,63000,臺北市市立美術館,臺北市 市立美術館
博物館, -,國立歷史博物館,臺北市,63000,臺北市國立歷史博物館,臺北市 國立歷史博物館
博物館, -,國立臺灣科學教育館,臺北市,63000,臺北市國立臺灣科學教育館,臺北市 國立臺灣科學教育館
博物館, -,市立天文科學教育館,臺北市,63000,臺北市市立天文科學教育館,臺北市 市立天文科學教育館
博物館, -,國父紀念館,臺北市,63000,臺北市國父紀念館,臺北市 國父紀念館
博物館, -,國立中正紀念堂,臺北市,63000,臺北市國立中正紀念堂,臺北市 國立中正紀念堂
博物館, -,臺北探索館,臺北市,63000,臺北市臺北探索館,臺北市 臺北探索館
博物館, -,坪林茶業博物館,新北市,65000,新北市坪林茶業博物館,新北市 坪林茶業博物館
博物館, -,新北市立鶯歌陶瓷博物館,新北市,65000,新北市新北市立鶯歌陶瓷博物館,新北市 新北市立鶯歌陶瓷博物館
博物館, -,新北市立十三行博物館,新北市,65000,新北市新北市立十三行博物館,新北市 新北市立十三行博物館
博物館, -,新北市黃金博物園區,新北市,65000,新北市新北市黃金博物園區,新北市 新北市黃金博物園區
博物館, -,新北市客家文化園區,新北市,65000,新北市新北市客家文化園區,新北市 新北市客家文化園區
博物館, -,台北當代藝術館,臺北市,63000,臺北市台北當代藝術館,臺北市 台北當代藝術館
博物館, -,朱銘美術館,新北市,65000,新北市朱銘美術館,新北市 朱銘美術館
博物館, -,北投溫泉博物館,臺北市,63000,臺北市北投溫泉博物館,臺北市 北投溫泉博物館
博物館, -,台北故事館,臺北市,63000,臺北市台北故事館,臺北市 台北故事館
博物館, -,林本源園邸( 林家花園),新北市,65000,新北市林本源園邸( 林家花園),新北市 林本源園邸( 林家花園)
博物館, -,三峽歷史文物館,新北市,65000,新北市三峽歷史文物館,新北市 三峽歷史文物館
博物館, -,凱達格蘭文化館,臺北市,63000,臺北市凱達格蘭文化館,臺北市 凱達格蘭文化館
宗教場所, -,清水祖師廟,新北市,65000,新北市清水祖師廟,新北市 清水祖師廟
宗教場所, -,法鼓山世界佛教教育園區,新北市,65000,新北市法鼓山世界佛教教育園區,新北市 法鼓山世界佛教教育園區
其他, -,國民革命忠烈祠,臺北市,63000,臺北市國民革命忠烈祠,臺北市 國民革命忠烈祠
其他, -,國立臺灣藝術教育館,臺北市,63000,臺北市國立臺灣藝術教育館,臺北市 國立臺灣藝術教育館
其他, -,市立動物園,臺北市,63000,臺北市市立動物園,臺北市 市立動物園
其他, -,士林官邸公園,臺北市,63000,臺北市士林官邸公園,臺北市 士林官邸公園
其他, -,臺北自來水園區,臺北市,63000,臺北市臺北自來水園區,臺北市 臺北自來水園區
其他, -,十分瀑布,新北市,65000,新北市十分瀑布,新北市 十分瀑布
其他, -,十分旅遊服務中心,新北市,65000,新北市十分旅遊服務中心,新北市 十分旅遊服務中心
其他, -,淡水漁人碼頭,新北市,65000,新北市淡水漁人碼頭,新北市 淡水漁人碼頭
