收容所編號,名稱,縣市,鄉鎮,村里,門牌地址,類型,水災,震災,土石流,海嘯,救濟支站,無障礙設施,室內,室外,服務里別,容納人數,收容所面積（平方公尺）,聯絡人姓名,聯絡人連絡電話,管理人姓名,管理人連絡電話,備考,完整地址,longitude,latitude
SA100-0002,臺北市立螢橋國民中學,臺北市,中正區,林興里,汀州路三段四號,學校,Y,備用,N,N,Y,Y,Y,N,板溪里、網溪里、螢圃里、林興里、河堤里、頂東里、文盛里、富水里、水源里,52,209,黃君宜,02-23688667#500,陳錦謀,02-23688667#100,,臺北市中正區林興里汀州路三段四號,121.527516,25.019244
SA100-0003,臺北市立大學附設實驗國民小學,臺北市,中正區,黎明里,公園路29號,學校,Y,Y,N,N,Y,Y,Y,N,黎明里、建國里、新營里、龍福里,157,1062,羅傑,02-23110395#840,吳家瑞,02-23110395#800,,臺北市中正區黎明里公園路29號,121.51663,25.045066
SA100-0004,臺北市立弘道國民中學,臺北市,中正區,建國里,公園路21號,學校,Y,Y,N,N,Y,Y,Y,N,光復里、建國里、黎明里、東門里、龍福里、幸福里、文北里,130,520,曾正一,02-23715520#500,唐廷俊,02-23715520#100,,臺北市中正區建國里公園路21號,121.515291,25.037545
SA100-0005,二二八和平公園,臺北市,中正區,黎明里,凱達格蘭大道3號,公園/綠地,Y,Y,N,N,N,Y,N,Y,全區,5424,21696,陳煌耀,02-23032451,陳煌耀,02-23032451,,臺北市中正區黎明里凱達格蘭大道3號,121.515585,25.040278
SA100-0006,臺北市中正運動中心,臺北市,中正區,東門里,信義路一段1號,體育場館/運動中心,Y,備用,N,N,Y,N,Y,N,東門里、文祥里、三愛里、文北里,250,2457.96,陳泓維,02-25702330#6425,陳凱頻,02-25702330#6425,,臺北市中正區東門里信義路一段1號,121.519306,25.038368
SA100-0007,臺北市立中正國民中學,臺北市,中正區,新營里,愛國東路158號,學校,Y,備用,N,N,Y,Y,Y,N,新營里、文祥里、文北里、南福里,300,1800,蔡宜芬,02-23916697#501,林泰安,02-23916697#101,,臺北市中正區新營里愛國東路158號,121.522077,25.032333
SA100-0008,臺北市立第一女子高級中學,臺北市,中正區,建國里,重慶南路一段165號,學校,Y,備用,N,N,Y,Y,Y,N,光復里、黎明里、建國里,60,500,賴祝宏,02-23820484#600,陳智源,02-23820484#200,,臺北市中正區建國里重慶南路一段165號,121.512857,25.037572
SA100-0009,臺北市立古亭國民中學,臺北市,中正區,永功里,中華路二段465號,學校,Y,備用,N,N,Y,Y,Y,N,永昌里、螢雪里、永功里、忠勤里、龍興里,60,1200,顏錦江,02-23090986#510,莊豐兆,02-23090986#101,,臺北市中正區永功里中華路二段465號,121.51062,25.024664
SA100-0010,臺北市立成功高級中學,臺北市,中正區,幸福里,濟南路一段71號,學校,Y,備用,N,N,Y,Y,Y,N,幸福里、文北里,31,300,連育賢,23216256#231,劉晶晶,23216256#201,,臺北市中正區幸福里濟南路一段71號,121.523808,25.042395
SA100-0011,臺北市中正區忠孝國民小學,臺北市,中正區,梅花里,忠孝東路二段101號,學校,N,備用,N,N,Y,Y,Y,N,幸福里、幸市里、梅花里,30,54,宋志倫,02-23918170#831,李亦欣,02-23918170#800,,臺北市中正區梅花里忠孝東路二段101號,121.531575,25.042891
SA100-0012,臺北市中正區東門國民小學,臺北市,中正區,東門里,仁愛路一段2-4號,學校,Y,備用,N,N,Y,Y,Y,N,東門里、文北里、文祥里、梅花里、新營里、幸福里、南福里、三愛里,100,400,陳幸岑,02-23412822#23,簡邑容,02-23412822#11,,臺北市中正區東門里仁愛路一段2-4號,121.522203,25.038807
SA100-0013,臺北市中正區河堤國民小學,臺北市,中正區,河堤里,汀州路二段180號,學校,Y,備用,N,N,Y,Y,Y,N,河堤里、頂東里、板溪里、網溪里、螢圃里,72,216,陳昱至,02-23677144#831,楊淑惠,02-23677144#888,,臺北市中正區河堤里汀州路二段180號,121.522642,25.023262
SA100-0014,臺北市中正區南門國民小學,臺北市,中正區,南門里,廣州街6號,學校,Y,備用,N,N,Y,Y,Y,N,愛國里、南門里、廈安里,30,100,鄭志祥,02-23715052#401,李嗣蕙,02-23753225,,臺北市中正區南門里廣州街6號,121.509091,25.03523
