COUNTY_ID,COUNTY,TOWN_ID,TOWN,H_CNT,P_CNT,M_CNT,F_CNT,INFO_TIME
縣市代碼,縣市名稱,鄉鎮市區代碼,鄉鎮市區名稱,戶數,人口數,男性人口數,女性人口數,資料時間
10002,宜蘭縣,10002100,三星鄉,8725,21278,11457,9821,"108Y12M"
10002,宜蘭縣,10002110,大同鄉,1951,6143,3301,2842,"108Y12M"
10002,宜蘭縣,10002090,五結鄉,15346,39959,20518,19441,"108Y12M"
10002,宜蘭縣,10002080,冬山鄉,19620,53103,27162,25941,"108Y12M"
10002,宜蘭縣,10002060,壯圍鄉,9021,24424,12850,11574,"108Y12M"
10002,宜蘭縣,10002010,宜蘭市,36832,95562,46452,49110,"108Y12M"
10002,宜蘭縣,10002120,南澳鄉,1995,5970,3094,2876,"108Y12M"
10002,宜蘭縣,10002070,員山鄉,11831,32284,17069,15215,"108Y12M"
10002,宜蘭縣,10002040,頭城鎮,10371,28985,14922,14063,"108Y12M"
10002,宜蘭縣,10002050,礁溪鄉,14252,35417,18406,17011,"108Y12M"
10002,宜蘭縣,10002020,羅東鎮,26622,71898,34033,37865,"108Y12M"
10002,宜蘭縣,10002030,蘇澳鎮,14267,39155,19958,19197,"108Y12M"
10015,花蓮縣,10015030,玉里鎮,8870,23648,12539,11109,"108Y12M"
10015,花蓮縣,10015070,光復鄉,5012,12536,6655,5881,"108Y12M"
10015,花蓮縣,10015050,吉安鄉,32488,83583,41896,41687,"108Y12M"
10015,花蓮縣,10015110,秀林鄉,4872,15953,8188,7765,"108Y12M"
10015,花蓮縣,10015130,卓溪鄉,1710,6035,3302,2733,"108Y12M"
10015,花蓮縣,10015010,花蓮市,41635,103404,49695,53709,"108Y12M"
10015,花蓮縣,10015100,富里鄉,4051,10161,5522,4639,"108Y12M"
10015,花蓮縣,10015040,新城鄉,7810,20083,10250,9833,"108Y12M"
10015,花蓮縣,10015090,瑞穗鄉,4762,11433,6137,5296,"108Y12M"
10015,花蓮縣,10015120,萬榮鄉,2113,6313,3328,2985,"108Y12M"
10015,花蓮縣,10015060,壽豐鄉,7306,17820,9438,8382,"108Y12M"
10015,花蓮縣,10015020,鳳林鎮,4390,10802,5621,5181,"108Y12M"
10015,花蓮縣,10015080,豐濱鄉,1710,4476,2502,1974,"108Y12M"
09020,金門縣,09020020,金沙鎮,6412,20802,10287,10515,"108Y12M"
09020,金門縣,09020010,金城鎮,13070,43253,21565,21688,"108Y12M"
09020,金門縣,09020030,金湖鎮,9270,30171,15124,15047,"108Y12M"
09020,金門縣,09020040,金寧鄉,9144,32531,16368,16163,"108Y12M"
09020,金門縣,09020050,烈嶼鄉,3186,12749,6318,6431,"108Y12M"
09020,金門縣,09020060,烏坵鄉,135,679,348,331,"108Y12M"
10008,南投縣,10008080,中寮鄉,5597,14495,7859,6636,"108Y12M"
10008,南投縣,10008130,仁愛鄉,4873,15905,8167,7738,"108Y12M"
10008,南投縣,10008110,水里鄉,7085,17247,9032,8215,"108Y12M"
10008,南投縣,10008060,名間鄉,12620,37951,19997,17954,"108Y12M"
10008,南投縣,10008040,竹山鎮,20202,53932,27574,26358,"108Y12M"
10008,南投縣,10008120,信義鄉,5277,16006,8583,7423,"108Y12M"
10008,南投縣,10008010,南投市,35190,99199,49605,49594,"108Y12M"
10008,南投縣,10008020,埔里鎮,29017,79789,39664,40125,"108Y12M"
10008,南投縣,10008030,草屯鎮,33816,97608,49258,48350,"108Y12M"
10008,南投縣,10008100,國姓鄉,7249,18245,9850,8395,"108Y12M"
10008,南投縣,10008090,魚池鄉,5767,15611,8216,7395,"108Y12M"
10008,南投縣,10008070,鹿谷鄉,8062,17509,9352,8157,"108Y12M"
10008,南投縣,10008050,集集鎮,4275,10615,5548,5067,"108Y12M"
10013,屏東縣,10013080,九如鄉,7160,21989,11314,10675,"108Y12M"
10013,屏東縣,10013260,三地門鄉,2332,7673,3864,3809,"108Y12M"
10013,屏東縣,10013130,內埔鄉,18853,53583,27664,25919,"108Y12M"
