項次編號,狀態,行政區,臨時供水站地點,電話,預定關閉時間,備註
1,未開設,信義區,信義區公所(臺北市信義區福德街86號),(02)87703362,,
2,未開設,中山區,中山區公所(臺北市松江路367號),(02)87703362,,
3,未開設,中山區,通北加壓站(臺北市通北街97號對面),(02)87703362,,
4,未開設,南港區,南港區公所(臺北市南港路1段360號),(02)87703032,,
5,未開設,南港區,汐止宜興街橋頭(臺北市舊莊街1段145巷與大坑溪交口舊莊公園),(02)87703362,,
6,未開設,松山區,松山區公所(臺北市八德路四段692號),(02)87703362,,
7,未開設,內湖區,內湖區公所(臺北市民權東路6段99號),(02)87703361,,
8,未開設,中正區,中正區公所(臺北市羅斯福路1段8號),(02)33431676,,
9,未開設,萬華區,萬華區公所(臺北市和平西路3段120號),(02)33431689,,
10,未開設,文山區,文山區公所(臺北市文山區木柵路3段220號),(02)83695136,,
11,未開設,大安區,大安區公所(臺北市大安區新生南路2段86號),(02)83695115,,
12,未開設,北投區,臺北市北投區清江路169號媽祖廟前,(02)28882131,,
13,未開設,北投區,臺北市北投區稻香路81號頂好超市前,(02)28882131,,
14,未開設,北投區,臺北市北投區新民路22巷口中心新村,(02)28882131,,
15,未開設,士林區,雙溪國小大門旁(臺北市士林區中社路2段46巷口),(02)28882131,,
16,未開設,新北市中和區,新北市中和區興南路2段399巷2號旁,(02)33431676,,
17,未開設,新北市中和區,新北市中和區華新街109巷15號前,(02)33431676,,
18,未開設,新北市三重區,新北市三重區碧華公園(新北市三重區溪尾街303號對面),(02)21004125,,
19,未開設,新北市三重區,新北市三重區光興公園(新北市三重區正義南路62號),(02)21004125,,
20,未開設,新北市新店區,新北市青潭國小(231新北市新店區北宜路二段80號),(02)83695136,,
