項次編號,狀態,行政區,學校名稱,地址,電話,預定關閉時間,備註
1,未開設,士林區,社子國小,臺北市士林區延平北路六段308號,(02)87335715,,
2,未開設,士林區,富安國小,臺北市士林區延平北路八段135號,(02)87335715,,
3,未開設,士林區,葫蘆國小,臺北市士林區環河北路三段95號,(02)87335715,,
4,未開設,士林區,士林國小,臺北市士林區大東路165號,(02)87335715,,
5,未開設,士林區,士東國小,臺北市士林區中山北路六段392號,(02)87335715,,
6,未開設,士林區,福林國小,臺北市士林區福志路75號,(02)87335715,,
7,未開設,士林區,雨聲國小,臺北市士林區至誠路一段62巷70號,(02)87335715,,
8,未開設,士林區,劍潭國小,臺北市士林區通河街16號,(02)87335715,,
9,未開設,士林區,百齡國小,臺北市士林區福港街205號,(02)87335715,,
10,未開設,士林區,雨農國小,臺北市士林區忠義街1號,(02)87335715,,
11,未開設,士林區,天母國小,臺北市士林區天玉街12號,(02)87335715,,
12,未開設,士林區,文昌國小,臺北市士林區文林路615巷20號,(02)87335715,,
13,未開設,士林區,芝山國小,臺北市士林區德行東路285號,(02)87335715,,
14,未開設,士林區,蘭雅國小,臺北市士林區磺溪街57號,(02)87335715,,
15,未開設,士林區,蘭雅國中,臺北市士林區忠誠路二段５１號,(02)87335715,,
16,未開設,士林區,格致國中,臺北市士林區仰德大道四段７５號,(02)87335715,,
17,未開設,士林區,至善國中,臺北市士林區至善路二段360號,(02)87335715,,
18,未開設,士林區,百齡高中,臺北市士林區承德路四段177號,(02)87335715,,
19,未開設,士林區,士林高商,臺北市士林區士商路150號,(02)87335715,,
20,未開設,大同區,蓬萊國小,臺北市大同區寧夏路35號,(02)87335715,,
21,未開設,大同區,永樂國小,臺北市大同區延平北路二段266號,(02)87335715,,
22,未開設,大同區,雙蓮國小,臺北市大同區錦西街51號,(02)87335715,,
23,未開設,大同區,建成國中,臺北市大同區長安西路37之1號,(02)87335715,,
24,未開設,大同區,忠孝國中,臺北市大同區西寧北路32號,(02)87335715,,
25,未開設,大同區,重慶國中,臺北市大同區敦煌路19號,(02)87335715,,
26,未開設,大同區,蘭州國中,臺北市大同區大龍街187巷1號,(02)87335715,,
27,未開設,大安區,大安國小,臺北市大安區臥龍街129號,(02)87335713,,
28,未開設,大安區,幸安國小,臺北市大安區仁愛路三段22號,(02)87335713,,
29,未開設,大安區,建安國小,臺北市大安區大安路二段99號,(02)87335713,,
30,未開設,大安區,仁愛國小,臺北市大安區安和路一段60號,(02)87335713,,
31,未開設,大安區,金華國小,臺北市大安區愛國東路79巷11號,(02)87335713,,
32,未開設,大安區,新生國小,臺北市大安區新生南路二段36號,(02)87335713,,
33,未開設,大安區,懷生國中,臺北市大安區忠孝東路三段248巷30號,(02)87335713,,
34,未開設,大安區,民族國中,臺北市大安區羅斯福路四段113巷13號,(02)87335713,,
35,未開設,大安區,龍門國中,臺北市大安區建國南路二段269號,(02)87335713,,
36,未開設,大安區,大安高工,臺北市大安區復興南路二段52號,(02)87335713,,
