項次編號,狀態,行政區,名稱,地點,預定關閉時間,聯絡窗口,電話,備註
1,未開設,士林區,北投幹線,士商路與基河路240巷交口,,加壓股,(02)87335972,
2,未開設,士林區,北投幹線,承德路與士商路交口,,加壓股,(02)87335972,
3,未開設,士林區,關渡線,社子河濱棒球場,,加壓股,(02)87335972,
4,未開設,士林區,雙溪淨水場配水池,臺北市士林區至善路2段34號,,值班室,(02)28411285,
5,未開設,士林區,北投幹線,劍潭捷運局南側中山北路5段65號,,加壓股,(02)87335972,
6,未開設,大同區,關渡線,承德橋下左岸高灘地,,加壓股,(02)87335972,
7,未開設,大同區,玉泉公園,臺北市西寧北路28號,,馬龍堯,(02)21004115,
8,未開設,大安區,清一幹線建國南路,大安森林公園4號出口對面,,加壓股,(02)87335972,
9,未開設,大安區,長興淨水場清水池,長興街131號,,加壓股,(02)87335972,
10,未開設,大安區,清二幹線長興支線,長興街與基隆路交口,,加壓股,(02)87335972,
11,未開設,大安區,三重支線,南昌街與羅斯福路交口,,加壓股,(02)87335972,
12,未開設,大安區,輸水幹線,復興南路與辛亥路交口(台大後門),,加壓股,(02)87335972,
13,未開設,大安區,清二幹線敦化南路,敦化南路與忠孝東路交口,,加壓股,(02)87335972,
14,未開設,大安區,長興淨水場清水池,臺北市長興街131號,,修漏股,(02)83695137,
15,未開設,中山區,北投幹線,中山橋下(兒童育樂公園內),,加壓股,(02)87335972,
16,未開設,中山區,關渡線,玉門街1號中山足球場西南側停車場,,加壓股,(02)87335972,
17,未開設,中山區,輸水幹線,長春路與松江路交口,,加壓股,(02)87335972,
18,未開設,中山區,清一幹線建國北路,建國北路與民生東路交口,,加壓股,(02)87335972,
19,未開設,中山區,北投幹線,美術館北面,,加壓股,(02)87335972,
20,未開設,中山區,大同加壓站配水池,臺北市新生北路3段101號(新生公園),,加壓股,(02)87335972,
21,未開設,中正區,228和平公園,臺北市懷寧街、凱達格蘭大道口,,修漏股,(02)33431686,
22,未開設,中正區(萬華區),公館淨水場配水池,臺北市思源街1號,,公館場,(02)83695151,
23,未開設,萬華區,華江社區配水池,臺北市和平西路三段302巷臨1號,,加壓股,(02)87335972,
24,未開設,萬華區,青年公園,臺北市青年路68巷口,,修漏股,(02)33431686,
25,未開設,內湖區,民生內湖線,南湖大橋下左岸高灘地,,加壓股,(02)87335972,
26,未開設,內湖區,東湖加壓站配水池,臺北市內湖區康寧路3段75巷24弄35號旁,,修漏股,(02)87703373,
27,未開設,內湖區,內湖四期加壓站配水池,臺北市內湖區麗湖國小附設幼稚園旁,,修漏股,(02)87703373,
28,未開設,內湖區,大湖公園,臺北市成功路五段31號,,修漏股,(02)87703373,
29,未開設,文山區,清一幹線,師大分部北側福和橋邊(基隆路4段福和橋頭),,加壓股,(02)87335972,
30,未開設,文山區,木柵二期加壓站配水池,臺北市木柵政大一街355號,,修漏股,(02)83695137,
31,未開設,文山區,景華公園,臺北市景興路與景華街交會口,,修漏股,(02)83695137,
32,未開設,北投區,北投幹線,北投大同公司對面,,加壓股,(02)87335972,
33,未開設,北投區,北投第一配水池,臺北市新民路55號,,加壓股,(02)87335972,
34,未開設,松山區,民生內湖線,民權公園北側,,加壓股,(02)87335972,
35,未開設,松山區,民生加壓站配水池,臺北市民生東路光復北路交叉口,,加壓股,(02)87335972,
36,未開設,松山區,松山加壓站配水池,臺北市民權東路5段41之1號,,加壓股,(02)87335972,
37,未開設,信義區,松德公園,臺北市松德路180巷8之1號對面,,修漏股,(02)21004115,
38,未開設,信義區,挹翠社區配水池,臺北市祥雲街39號(對面),,修漏股,(02)83695137,
39,未開設,南港區,南港公園,臺北市東新街170號,,修漏股,(02)87703373,
40,未開設,南港區,南港加壓站配水池,臺北市研究院路2段1號,,修漏股,(02)87703373,
41,未開設,新北市三重區,三重加壓站配水池,新北市中正北路25巷29號,,李叔龍,(02)87335942,
42,未開設,新北市新店區,清一幹線,安康加壓站,,加壓股,(02)87335972,
43,未開設,新北市新店區,安華新店線,新店陽光運動公園,,加壓股,(02)87335972,
44,未開設,新北市中和區,清一幹線,中和成功路47號,,加壓股,(02)87335972,
45,未開設,新北市中和區,中和支線,中和景平路57號邊,,加壓股,(02)87335972,
46,未開設,信義區,景勤2號公園,臺北市信義區信安街67巷旁,,修漏股,(02)83695137,
