類別,建築物名稱,電腦編號,村里別,地址,緯經度,地下樓層數,可容納人數,轄管分局,備註
一般住宅,公寓,WYA01050,大有里,臺北市大同區涼州街116號,"25.060459,121.509074",B01,73,大同分局,
一般住宅,私人住宅大樓,WYA01052,大有里,臺北市大同區環河北路一段343號,"25.060258,121.508605",B01,400,大同分局,
一般住宅,私人住宅大樓,WYA01053,大有里,臺北市大同區迪化街一段238號,"25.059928,121.509314",B01,320,大同分局,
一般住宅,私人住宅大樓,WYA01054,大有里,臺北市大同區安西街54號,"25.059633,121.509969",B01,170,大同分局,
一般住宅,公寓,WYA01055,大有里,臺北市大同區安西街9巷11號,"25.059596,121.510396",B01,34,大同分局,
一般住宅,公寓,WYA01056,大有里,臺北市大同區民樂街136號,"25.060023,121.510423",B01,34,大同分局,
一般住宅,公寓,WYA01057,大有里,臺北市大同區民樂街122號,"25.059655,121.510445",B01,35,大同分局,
一般住宅,私人住宅大樓,WYA01060,大有里,臺北市大同區安西街43號,"25.060307,121.510018",B01,352,大同分局,
一般住宅,私人住宅大樓,WYA01063,大有里,臺北市大同區延平北路二段242號,"25.059996,121.511298",B01,234,大同分局,
一般住宅,富貴世家,WYA01064,大有里,臺北市大同區涼州街90號,"25.060535,121.510319",B03,106,大同分局,
一般住宅,私人住宅大樓,WYA01064,大有里,臺北市大同區延平北路二段238號,"25.059902,121.511304",B01,392,大同分局,
一般住宅,公寓,WYA01065,大有里,臺北市大同區延平北路二段250巷9號,"25.060196,121.510858",B01,20,大同分局,
一般住宅,公寓,WYA01066,大有里,臺北市大同區延平北路二段220號,"25.059512,121.511326",B01,73,大同分局,
一般住宅,私人住宅大樓,WYA01067,大有里,臺北市大同區民樂街177號,"25.059449,121.510594",B01,354,大同分局,
一般住宅,私人住宅大樓,WYA01068,大有里,臺北市大同區涼州街66號,"25.060572,121.510959",B01,162,大同分局,
一般住宅,私人住宅大樓,WYA01069,大有里,臺北市大同區延平北路二段250巷258號,"25.060196,121.510858",B01,260,大同分局,
一般住宅,私人住宅大樓,WYA01070,大有里,臺北市大同區延平北路二段232號,"25.059773,121.511311",B01,265,大同分局,
一般住宅,私人住宅大樓,WYA01072,大有里,臺北市大同區延平北路二段228號,"25.059684,121.511315",B01,210,大同分局,
一般住宅,私人住宅大樓,WYA01074,大有里,臺北市大同區延平北路二段260號,"25.060504,121.511259",B01,214,大同分局,
一般住宅,公寓,WYA01075,大有里,臺北市大同區涼州街64號,"25.060576,121.511011",B01,76,大同分局,
一般住宅,公寓,WYA01076,大有里,臺北市大同區安西街20號,"25.058814,121.510105",B01,57,大同分局,
一般住宅,私人住宅大樓,WYA01077,大有里,臺北市大同區安西街26號,"25.058968,121.510095",B01,174,大同分局,
一般住宅,私人住宅大樓,WYA01078,大有里,臺北市大同區歸綏街301號,"25.058198,121.508874",B01,410,大同分局,
一般住宅,私人住宅大樓,WYA01079,大有里,臺北市大同區迪化街一段214號,"25.059291,121.509395",B01,137,大同分局,
一般住宅,私人住宅大樓,WYA01080,大有里,臺北市大同區環河北路一段269號,"25.058365,121.508565",B02,443,大同分局,
一般住宅,私人住宅大樓,WYA01081,大有里,臺北市大同區環河北路一段281號,"25.058886,121.508579",B01,190,大同分局,
一般住宅,私人住宅大樓,WYA01082,大有里,臺北市大同區環河北路一段295號,"25.059079,121.508594",B01,925,大同分局,
一般住宅,私人住宅大樓,WYA01084,大有里,臺北市大同區延平北路二段202號,"25.059035,121.511296",B02,1241,大同分局,
一般住宅,私人住宅大樓,WYA01085,大有里,臺北市大同區歸綏街233號,"25.058342,121.510965",B01,485,大同分局,
一般住宅,私人住宅大樓,WYA01086,大有里,臺北市大同區民樂街155號,"25.05863,121.510675",B01,281,大同分局,
