LocationName,cityName,townName,address,lat,lon,單位
臺北市政府消防局,臺北市,信義區,臺北市信義區松仁路1號,25.04072301,121.5687455,消防局
臺北市政府消防局第一救災救護大隊,臺北市,中正區,臺北市中正區泉州街40號6樓,25.02459445,121.5124293,消防局
臺北市政府消防局萬華中隊,臺北市,萬華區,臺北市萬華區西藏路213之1號5樓,25.02845766,121.4957343,消防局
臺北市政府消防局龍山分隊,臺北市,萬華區,臺北市萬華區桂林路137號,25.038608,121.499346,消防局
臺北市政府消防局文山中隊,臺北市,文山區,臺北市文山區樟新街2號,24.97998572,121.5548425,消防局
臺北市政府消防局萬芳分隊,臺北市,文山區,臺北市文山區萬美街1段52號,25.00220677,121.5666833,消防局
臺北市政府消防局景美分隊,臺北市,文山區,臺北市文山區景文街30號,24.9923582,121.5411933,消防局
臺北市政府消防局寶橋分隊,臺北市,文山區,臺北市文山區樟新街2號,24.9799502,121.5548481,消防局
臺北市政府消防局中正中隊,臺北市,中正區,臺北市中正區北平東路1號,25.04717833,121.5209368,消防局
臺北市政府消防局華山分隊,臺北市,中正區,北平東路1號,25.0472698,121.5206779,消防局
臺北市政府消防局忠孝分隊,臺北市,中正區,臺北市中正區忠孝東路2段8號,25.0437062,121.5271104,消防局
臺北市政府消防局泉州分隊,臺北市,中正區,臺北市中正區泉州街40號,25.0244888,121.5123123,消防局
臺北市政府消防局城中分隊,臺北市,中正區,重慶南路1段1號,25.046888,121.513386,消防局
臺北市政府消防局第二救災救護大隊,臺北市,信義區,臺北市信義區松智路40號,25.02963352,121.5651474,消防局
臺北市政府消防局信義中隊,臺北市,信義區,臺北市信義區松智路40號4樓,25.02961511,121.5651291,消防局
臺北市政府消防局信義分隊,臺北市,信義區,臺北市信義區松仁路1號,25.04074072,121.5687642,消防局
臺北市政府消防局永吉分隊,臺北市,信義區,永吉路48號,25.0455721,121.5692301,消防局
臺北市政府消防局莊敬分隊,臺北市,信義區,臺北市信義區松智路40號,25.0295358,121.565085,消防局
臺北市政府消防局大安中隊,臺北市,大安區,復興南路二段92號5樓,25.03012699,121.5432529,消防局
臺北市政府消防局金華分隊,臺北市,大安區,愛國東路79巷13號,25.0326282,121.527769,消防局
臺北市政府消防局安和分隊,臺北市,大安區,臺北市大安區安和路2段2號,25.03287725,121.5522462,消防局
臺北市政府消防局復興分隊,臺北市,大安區,臺北市大安區復興南路2段92號,25.029991,121.5433293,消防局
臺北市政府消防局南港中隊,臺北市,南港區,臺北市南港區興中路6號4樓,25.05465274,121.6073226,消防局
臺北市政府消防局南港分隊,臺北市,南港區,興中路6號,25.054683,121.607262,消防局
臺北市政府消防局舊莊分隊,臺北市,南港區,臺北市南港區研究院路2段86號,25.0450335,121.6153271,消防局
臺北市政府消防局第三救災救護大隊,臺北市,松山區,臺北市松山區長安東路2段229號,25.0483776,121.5458959,消防局
臺北市政府消防局松山中隊,臺北市,松山區,八德路4段162號4樓,25.04857814,121.5629742,消防局
臺北市政府消防局八德分隊,臺北市,松山區,八德路4段162號,25.0485199,121.5629376,消防局
臺北市政府消防局中崙分隊,臺北市,松山區,臺北市松山區長安東路2段229號,25.0483776,121.5458959,消防局
臺北市政府消防局中山中隊,臺北市,中山區,臺北市中山區朱園里18鄰松江路25巷9號,25.05385115,121.5364277,消防局
臺北市政府消防局大直分隊,臺北市,中山區,臺北市中山區樂群二路143號,25.0801536,121.5568445,消防局
臺北市政府消防局松江分隊,臺北市,中山區,臺北市中山區松江路25巷9號,25.04763463,121.5341999,消防局
臺北市政府消防局內湖中隊,臺北市,內湖區,臺北市內湖區民權東路6段9號3樓,25.06689201,121.5782113,消防局
臺北市政府消防局大湖分隊,臺北市,內湖區,臺北市內湖區成功路5段3號,25.083985,121.6015,消防局
臺北市政府消防局內湖分隊,臺北市,內湖區,臺北市內湖區成功路2段378號,25.0699204,121.5902031,消防局
臺北市政府消防局東湖分隊,臺北市,內湖區,臺北市內湖區五分街8號,25.06745919,121.6129044,消防局
臺北市政府消防局民權分隊,臺北市,內湖區,臺北市內湖區民權東路6段9號,25.06690993,121.5782303,消防局
臺北市政府消防局第四救災救護大隊,臺北市,大同區,臺北市大同區重慶北路二段223號,25.06147043,121.5137481,消防局
臺北市政府消防局士林中隊,臺北市,士林區,臺北市士林區福林里8鄰中山北路五段376號,25.089956,121.527842,消防局
臺北市政府消防局雙溪分隊,臺北市,士林區,臺北市士林區至善路2段41號,25.097617,121.544706,消防局
臺北市政府消防局山仔后分隊,臺北市,士林區,臺北市士林區仰德大道四段161號,25.13389978,121.5457056,消防局
臺北市政府消防局天母分隊,臺北市,士林區,臺北市士林區中山北路7段194號,25.12527813,121.5329188,消防局
臺北市政府消防局福安分隊,臺北市,士林區,臺北市士林區延平北路7段42-7號,25.096437,121.4970959,消防局
臺北市政府消防局社子分隊,臺北市,士林區,臺北市士林區延平北路5段2-1號,25.0791803,121.5114613,消防局
臺北市政府消防局劍潭分隊,臺北市,大同區,臺北市大同區承德路3段206號,25.07022465,121.5181491,消防局
臺北市政府消防局後港分隊,臺北市,士林區,臺北市士林區福港街153號,25.0871842,121.5180797,消防局
臺北市政府消防局北投中隊,臺北市,北投區,臺北市北投區石牌路2段101號2樓,25.11792359,121.5168979,消防局
臺北市政府消防局陽明山分隊,臺北市,北投區,臺北市北投區勝利街1號,25.15150944,121.5464323,消防局
臺北市政府消防局光明分隊,臺北市,北投區,臺北市北投區光明路155號,25.1350969,121.5024718,消防局
臺北市政府消防局關渡分隊,臺北市,北投區,臺北市北投區知行路345號,25.1231528,121.466727,消防局
臺北市政府消防局石牌分隊,臺北市,北投區,臺北市北投區石牌路2段101號,25.1179343,121.5169494,消防局
臺北市政府消防局秀山分隊,臺北市,北投區,臺北市北投區秀山路50號,25.1456294,121.4931134,消防局
臺北市政府消防局大同中隊,臺北市,大同區,臺北市大同區鄭州路109號8樓,25.05024362,121.5113546,消防局
臺北市政府消防局建成分隊,臺北市,大同區,臺北市大同區承德路2段35號,25.05479356,121.5184358,消防局
臺北市政府消防局延平分隊,臺北市,大同區,臺北市大同區鄭州路109號,25.0502549,121.511386,消防局
臺北市政府消防局大同分隊,臺北市,大同區,臺北市大同區重慶北路2段223號,25.0702942,121.5181712,消防局
臺北市政府警察局大同分局,臺北市,大同區,臺北市大同區錦西街200號,25.05931324,121.5150319,分局
建成派出所,臺北市,大同區,建泰里承德路1段80號,25.0527248,121.5173413,派出所
民生西路派出所,臺北市,大同區,延平里保安街47之1號,25.0592239,121.512054,派出所
重慶北路派出所,臺北市,大同區,重慶北路3段320之2號,25.0753508,121.5135534,派出所
寧夏路派出所,臺北市,大同區,臺北市大同區雙連里錦西街200號,25.05950939,121.5150006,派出所
民族路派出所,臺北市,大同區,國慶里重慶北路3段168號,25.068637,121.5136747,派出所
臺北市政府警察局大安分局,臺北市,大安區,臺北市大安區仁愛路3段2號,25.037826,121.5330911,分局
羅斯福路派出所,臺北市,大安區,臺北市大安區羅斯福路4段113巷13號,25.0111861,121.5388738,派出所
臥龍街派出所,臺北市,大安區,臺北市大安區臥龍街185號,25.0179973,121.5518522,派出所
敦化南路派出所,臺北市,大安區,臺北市大安區敦化南路1段236巷26號,25.0403716,121.5469076,派出所
安和路派出所,臺北市,大安區,臺北市大安區信義路4段216號,25.0329786,121.5521904,派出所
瑞安街派出所,臺北市,大安區,臺北市大安區瑞安街23巷17號,25.0311288,121.545045,派出所
和平東路派出所,臺北市,大安區,臺北市大安區和平東路1段143號,25.0266151,121.5305091,派出所
新生南路派出所,臺北市,大安區,臺北市大安區仁愛路3段18號,25.0377484,121.5339848,派出所
臺北市政府警察局北投分局,臺北市,北投區,臺北市北投區中央北路一段一號,25.1333442,121.5014312,分局
永明派出所,臺北市,北投區,臺北市北投區石牌路2段10號,25.115382,121.515547,派出所
竹子湖派出所,臺北市,北投區,竹仔湖路16號,25.1674627,121.5402305,派出所
公園派出所,臺北市,北投區,紗帽路110號,25.1488485,121.5486058,派出所
關渡派出所,臺北市,北投區,大度路3段305號,25.1229971,121.4659472,派出所
石牌派出所,臺北市,北投區,文林北路296號,25.1099044,121.5124646,派出所
奇岩派出所,臺北市,北投區,公館路209巷11號,25.1276307,121.508055,派出所
大屯派出所,臺北市,北投區,中和街534號,25.1455767,121.4931182,派出所
光明派出所,臺北市,北投區,大業路735號,25.137377,121.502551,派出所
玉成派出所,臺北市,南港區,臺北市南港區向陽路150號,25.0540372,121.5948697,派出所
舊莊派出所,臺北市,南港區,臺北市南港區舊莊街1段213號,25.0385342,121.6225734,派出所
同德派出所,臺北市,南港區,臺北市南港區同德路83號,25.0461086,121.5856772,派出所
南港派出所,臺北市,南港區,臺北市南港區興中號12巷2號,25.0549008,121.6071483,派出所
臺北市政府警察局內湖分局,臺北市,內湖區,臺北市內湖區民權東路六段一○一號,25.06547825,121.5740483,分局
康樂派出所,臺北市,內湖區,臺北市內湖區樂康里康樂街110巷16弄20號,25.0704412,121.618335,派出所
東湖派出所,臺北市,內湖區,五分里五分街10號,25.0674704,121.6129763,派出所
文德派出所,臺北市,內湖區,瑞光里文德路22巷120號,25.0747195,121.5811524,派出所
大湖派出所,臺北市,內湖區,大明里成功路5段一1號,25.0666667,121.5833333,派出所
西湖派出所,臺北市,內湖區,港墘里內湖路1段550號,25.0788262,121.5768044,派出所
潭美派出所,臺北市,內湖區,週美里新明路324號,25.0552622,121.5816447,派出所
內湖派出所,臺北市,內湖區,內湖里內湖路2段342號之1,25.0816366,121.5895926,派出所
康寧派出所,臺北市,內湖區,清白里金湖路83號,25.0812482,121.5975269,派出所
臺北市政府警察局萬華分局,臺北市,萬華區,臺北市萬華區康定路22號,25.04512604,121.5028876,分局
青年路派出所,臺北市,萬華區,萬大路423巷112號,25.0219029,121.5021291,派出所
東園街派出所,臺北市,萬華區,長泰街130號,25.0223907,121.4982367,派出所
西園路派出所,臺北市,萬華區,東園街17號,25.0281128,121.4956315,派出所
莒光派出所,臺北市,萬華區,莒光路171號,25.0311005,121.5027293,派出所
華江派出所,臺北市,萬華區,環河南路2段196號,25.0342898,121.4931822,派出所
大理街派出所,臺北市,萬華區,糖廓里大理街99號,25.0329386,121.4951115,派出所
康定路派出所,臺北市,萬華區,和平西路3段112號,25.035091,121.5004896,派出所
龍山派出所,臺北市,萬華區,臺北市萬華區桂林路135號,25.0386112,121.4996979,派出所
六張犁派出所,臺北市,信義區,臺北市信義區嘉興街301號,25.0236528,121.5550639,派出所
吳興街派出所,臺北市,信義區,臺北市信義區吳興街262號,25.0265855,121.5639282,派出所
福德街派出所,臺北市,信義區,臺北市信義區松德路66號,25.03855949,121.5761485,派出所
五分埔派出所,臺北市,信義區,臺北市信義區永吉路333號,25.045663,121.5758445,派出所
三張犁派出所,臺北市,信義區,臺北市信義區信義路5段17號,25.0331408,121.5680334,派出所
博愛路派出所,臺北市,中正區,博愛路119號,25.0417679,121.5115869,派出所
臺北市政府警察局中正第二分局,臺北市,中正區,臺北市中正區南海路35號,25.0320412,121.5139746,分局
南海路派出所,臺北市,中正區,南海路35號,25.0320412,121.5139746,派出所
思源街派出所,臺北市,中正區,臺北市中正區汀州路3段72號,25.0151555,121.5320722,派出所
南昌路派出所,臺北市,中正區,南昌路1段7號,25.0323407,121.5165628,派出所
泉州街派出所,臺北市,中正區,中華路2段503號,25.0242957,121.5121277,派出所
廈門街派出所,臺北市,中正區,廈門街43號,25.0258774,121.5177062,派出所
臺北市政府警察局文山第一分局,臺北市,文山區,臺北市文山區木柵路2段202號,24.9887827,121.5635377,分局
木新派出所,臺北市,文山區,臺北市文山區恆光街45號,24.98249446,121.5673089,派出所
指南派出所,臺北市,文山區,臺北市文山區指南路2段177號,24.9872853,121.5779437,派出所
萬芳派出所,臺北市,文山區,臺北市文山區萬美街1段50號,25.0022655,121.5668969,派出所
復興派出所,臺北市,文山區,臺北市文山區木柵路1段54號,24.9867694,121.5470169,派出所
木柵派出所,臺北市,文山區,臺北市文山區木柵路2段202號,24.9887827,121.5635377,派出所
臺北市政府警察局文山第二分局,臺北市,文山區,臺北市文山區景中街二號,24.9928142,121.5410406,分局
萬盛派出所,臺北市,文山區,萬祥里羅斯福路5段151號,25.003904,121.5389083,派出所
景美派出所,臺北市,文山區,景中街2號,24.9928142,121.5410406,派出所
興隆派出所,臺北市,文山區,興隆路2段156號,25.0015151,121.5511861,派出所
臺北市政府消防局建國分隊,臺北市,中山區,臺北市中山區民族東路282號,25.0681,121.535104,消防局
臺北市政府消防局成德分隊,臺北市,南港區,臺北市南港區東新街63巷11號,25.0479032,121.5866978,消防局
臺北市政府消防局雙園分隊,臺北市,萬華區,臺北市萬華區西藏路213-1號,25.02847626,121.4957511,消防局
臺北市政府消防局圓山分隊,臺北市,中山區,臺北市中山區民族東路41號,25.06859313,121.529754,消防局
大安分局警備隊,臺北市,大安區,臺北市大安區信義路4段216號,25.0329735,121.5521068,分局
忠孝西路派出所,臺北市,中正區,臺北市中正區公園路15號,0,0,派出所
忠孝東路派出所,臺北市,中正區,臺北市中正區忠孝東路2段10號,0,0,派出所
仁愛路派出所,臺北市,中正區,臺北市中正區仁愛路一段19號,0,0,派出所
介壽路派出所,臺北市,中正區,臺北市中正區公園路54號,0,0,派出所
中正第一分局,臺北市,中正區,臺北市中正區公園路15號,0,0,分局
臺北市政府警察局松山分局松山派出所,臺北市,松山區,臺北市松山區八德路4段692號,25.04985353,121.5771713,派出所
臺北市政府警察局松山分局中崙派出所,臺北市,松山區,臺北市松山區南京東路4段12號,25.05135661,121.5525693,派出所
