縣市代碼,縣市名稱,鄉鎮市區代碼,鄉鎮市區名稱,戶數,人口數,男性人口數,女性人口數,資料時間
65000,新北市,65000010,板橋區,198015,555335,273845,281490,100Y12M
65000,新北市,65000020,三重區,142515,390421,194126,196295,100Y12M
65000,新北市,65000030,中和區,157474,414939,204486,210453,100Y12M
65000,新北市,65000040,永和區,89972,232386,111416,120970,100Y12M
65000,新北市,65000050,新莊區,139207,404089,199224,204865,100Y12M
65000,新北市,65000060,新店區,117904,296581,144760,151821,100Y12M
65000,新北市,65000070,樹林區,62139,179788,90415,89373,100Y12M
65000,新北市,65000080,鶯歌區,27986,87683,44242,43441,100Y12M
65000,新北市,65000090,三峽區,36823,105629,53696,51933,100Y12M
65000,新北市,65000100,淡水區,59866,146756,71192,75564,100Y12M
65000,新北市,65000110,汐止區,80361,190679,94436,96243,100Y12M
65000,新北市,65000120,瑞芳區,15930,42031,21399,20632,100Y12M
65000,新北市,65000130,土城區,83316,239156,119365,119791,100Y12M
65000,新北市,65000140,蘆洲區,66457,198373,98077,100296,100Y12M
65000,新北市,65000150,五股區,27777,80518,40739,39779,100Y12M
65000,新北市,65000160,泰山區,26554,77057,38644,38413,100Y12M
65000,新北市,65000170,林口區,32503,86628,42729,43899,100Y12M
65000,新北市,65000180,深坑區,9085,23531,11848,11683,100Y12M
65000,新北市,65000190,石碇區,3340,7887,4386,3501,100Y12M
65000,新北市,65000200,坪林區,2457,6533,3632,2901,100Y12M
65000,新北市,65000210,三芝區,8946,23319,12040,11279,100Y12M
65000,新北市,65000220,石門區,4161,12841,6721,6120,100Y12M
65000,新北市,65000230,八里區,12671,35423,17888,17535,100Y12M
65000,新北市,65000240,平溪區,2392,5197,2900,2297,100Y12M
65000,新北市,65000250,雙溪區,3806,9555,5173,4382,100Y12M
65000,新北市,65000260,貢寮區,4438,13538,6987,6551,100Y12M
65000,新北市,65000270,金山區,6808,22447,11218,11229,100Y12M
65000,新北市,65000280,萬里區,7140,22204,11269,10935,100Y12M
65000,新北市,65000290,烏來區,1748,5927,2991,2936,100Y12M
63000,臺北市,63000010,松山區,78741,209948,99411,110537,100Y12M
63000,臺北市,63000020,信義區,86807,226541,108955,117586,100Y12M
63000,臺北市,63000030,大安區,118069,313846,147546,166300,100Y12M
63000,臺北市,63000040,中山區,93960,224102,105240,118862,100Y12M
63000,臺北市,63000050,中正區,63143,161449,77766,83683,100Y12M
63000,臺北市,63000060,大同區,48508,126640,62284,64356,100Y12M
63000,臺北市,63000070,萬華區,75235,190855,94865,95990,100Y12M
63000,臺北市,63000080,文山區,99098,266442,128894,137548,100Y12M
63000,臺北市,63000090,南港區,42923,116131,57055,59076,100Y12M
63000,臺北市,63000100,內湖區,99593,275652,132686,142966,100Y12M
63000,臺北市,63000110,士林區,102534,287072,139294,147778,100Y12M
63000,臺北市,63000120,北投區,91268,252290,122347,129943,100Y12M
65000,新北市,65000010,板橋區,201973,557440,274286,283154,101Y12M
65000,新北市,65000020,三重區,144286,390090,193586,196504,101Y12M
65000,新北市,65000030,中和區,159724,416499,204605,211894,101Y12M
65000,新北市,65000040,永和區,90478,230768,110388,120380,101Y12M
65000,新北市,65000050,新莊區,142061,407012,200359,206653,101Y12M
65000,新北市,65000060,新店區,119383,297637,144858,152779,101Y12M
65000,新北市,65000070,樹林區,63613,182012,91286,90726,101Y12M
65000,新北市,65000080,鶯歌區,28560,88336,44480,43856,101Y12M
65000,新北市,65000090,三峽區,38502,107794,54662,53132,101Y12M
65000,新北市,65000100,淡水區,62655,150687,72932,77755,101Y12M
65000,新北市,65000110,汐止區,81979,192676,95129,97547,101Y12M
65000,新北市,65000120,瑞芳區,15967,41617,21116,20501,101Y12M
65000,新北市,65000130,土城區,84453,239717,119321,120396,101Y12M
65000,新北市,65000140,蘆洲區,67478,199490,98452,101038,101Y12M
65000,新北市,65000150,五股區,28290,81225,41085,40140,101Y12M
65000,新北市,65000160,泰山區,26968,77617,38784,38833,101Y12M
65000,新北市,65000170,林口區,34026,89886,44244,45642,101Y12M
65000,新北市,65000180,深坑區,9198,23569,11862,11707,101Y12M
65000,新北市,65000190,石碇區,3350,7895,4360,3535,101Y12M
65000,新北市,65000200,坪林區,2476,6483,3610,2873,101Y12M
65000,新北市,65000210,三芝區,9078,23460,12083,11377,101Y12M
65000,新北市,65000220,石門區,4236,12798,6695,6103,101Y12M
65000,新北市,65000230,八里區,12948,35721,17991,17730,101Y12M
65000,新北市,65000240,平溪區,2388,5109,2841,2268,101Y12M
65000,新北市,65000250,雙溪區,3834,9465,5102,4363,101Y12M
65000,新北市,65000260,貢寮區,4461,13412,6904,6508,101Y12M
65000,新北市,65000270,金山區,6910,22486,11203,11283,101Y12M
65000,新北市,65000280,萬里區,7259,22429,11387,11042,101Y12M
