類型,觀光遊憩區,細分,縣市,縣市別,lat,lon
國家公園,陽明山國家公園,陽明山遊客中心,臺北市,63000,25.137403,121.54202
國家公園,陽明山國家公園,陽明書屋,臺北市,63000,25.137403,121.54202
國家公園,陽明山國家公園,陽明公園,臺北市,63000,25.044918,121.51677
國家公園,陽明山國家公園,大屯遊憩區,臺北市,63000,25.148842,121.50517
國家公園,陽明山國家公園,龍鳳谷遊憩區,臺北市,63000,25.03752,121.56368
國家公園,陽明山國家公園,小油坑遊憩區,臺北市,63000,25.176049,121.544341
國家級風景特定區,東北角暨宜蘭海岸國家風景區,鼻頭港服務區,新北市,65000,25.121784,121.9196
國家級風景特定區,東北角暨宜蘭海岸國家風景區,龍洞灣公園,新北市,65000,25.129601,121.73812
國家級風景特定區,東北角暨宜蘭海岸國家風景區,龍洞南口海洋公園,新北市,65000,25.129601,121.73812
國家級風景特定區,東北角暨宜蘭海岸國家風景區,福隆遊客服務中心,新北市,65000,25.01674,121.94496
國家級風景特定區,東北角暨宜蘭海岸國家風景區,龍門露營區,新北市,65000,25.036139,121.928314
國家級風景特定區,東北角暨宜蘭海岸國家風景區,鹽寮海濱公園,新北市,65000,25.12532,121.83054
國家級風景特定區,東北角暨宜蘭海岸國家風景區,鼻頭角步道,新北市,65000,25.121784,121.9196
國家級風景特定區,東北角暨宜蘭海岸國家風景區,舊草嶺隧道,新北市,65000,25.003941,121.958347
國家級風景特定區,東北角暨宜蘭海岸國家風景區,草嶺古道系統(含遠望坑親水公園),新北市,65000,25.129601,121.73812
國家級風景特定區,東北角暨宜蘭海岸國家風景區,福隆蔚藍海岸,新北市,65000,25.01674,121.94496
國家級風景特定區,北海岸及觀音山國家風景區,野柳地質公園,新北市,65000,25.203846,121.68766
國家級風景特定區,北海岸及觀音山國家風景區,白沙灣,新北市,65000,25.283229,121.52064
國家級風景特定區,北海岸及觀音山國家風景區,翡翠灣濱海遊憩區,新北市,65000,25.111145,121.2678
