場所縣市,場所區域,aed_count,人口數,people_per_aed,spatial_dispersion_projected
新北市,三峽區,64,115335,1802,2278
新北市,三芝區,27,22080,817,1819
新北市,三重區,119,383355,3221,667
新北市,中和區,114,405956,3561,842
新北市,五股區,39,93860,2406,1427
新北市,八里區,42,42674,1016,1490
新北市,土城區,51,241224,4729,1711
新北市,坪林區,11,6324,574,2316
新北市,平溪區,13,4049,311,1276
新北市,新店區,119,306571,2576,1900
新北市,新莊區,165,423503,2566,1068
新北市,板橋區,194,553538,2853,937
新北市,林口區,65,136075,2093,1461
新北市,樹林區,65,178981,2753,1227
新北市,永和區,55,213742,3886,709
新北市,汐止區,81,210817,2602,1305
新北市,泰山區,30,77667,2588,515
新北市,淡水區,94,200726,2135,1683
新北市,深坑區,14,23636,1688,553
新北市,烏來區,14,6309,450,2626
新北市,瑞芳區,42,36330,865,2238
新北市,石碇區,21,7068,336,1603
新北市,石門區,14,10397,742,1579
新北市,萬里區,27,20622,763,792
新北市,蘆洲區,51,198359,3889,381
新北市,貢寮區,20,10719,535,1947
新北市,金山區,23,20059,872,1972
新北市,雙溪區,18,7686,427,1754
新北市,鶯歌區,33,89339,2707,625
臺北市,中山區,306,215245,703,808
臺北市,中正區,274,148375,541,14887
臺北市,信義區,267,205067,768,718
臺北市,內湖區,204,273748,1341,798
臺北市,北投區,183,240623,1314,2249
臺北市,南港區,169,112643,666,16756
臺北市,士林區,230,264194,1148,1648
臺北市,大同區,107,118992,1112,650
臺北市,大安區,327,289908,886,470
臺北市,文山區,242,258333,1067,807
臺北市,松山區,234,191826,819,457
臺北市,萬華區,129,171915,1332,512
