COUNTY_ID,COUNTY,TOWN_ID,TOWN,H_CNT,P_CNT,M_CNT,F_CNT,INFO_TIME
縣市代碼,縣市名稱,鄉鎮市區代碼,鄉鎮市區名稱,戶數,人口數,男性人口數,女性人口數,資料時間
65000,新北市,65000010,板橋區,217892,557114,270821,286293,"109Y12M"
65000,新北市,65000020,三重區,154699,385328,188897,196431,"109Y12M"
65000,新北市,65000030,中和區,168928,411214,198830,212384,"109Y12M"
65000,新北市,65000040,永和區,91824,219364,103903,115461,"109Y12M"
65000,新北市,65000050,新莊區,160984,422653,205901,216752,"109Y12M"
65000,新北市,65000060,新店區,130416,303532,145552,157980,"109Y12M"
65000,新北市,65000070,樹林區,67580,183470,91392,92078,"109Y12M"
65000,新北市,65000080,鶯歌區,31860,87674,43910,43764,"109Y12M"
65000,新北市,65000090,三峽區,44562,116917,58409,58508,"109Y12M"
65000,新北市,65000100,淡水區,83046,183278,87638,95640,"109Y12M"
65000,新北市,65000110,汐止區,91207,205847,100104,105743,"109Y12M"
65000,新北市,65000120,瑞芳區,16177,39077,19730,19347,"109Y12M"
65000,新北市,65000130,土城區,89502,238277,117117,121160,"109Y12M"
65000,新北市,65000140,蘆洲區,73445,202456,99113,103343,"109Y12M"
65000,新北市,65000150,五股區,34644,89470,44983,44487,"109Y12M"
65000,新北市,65000160,泰山區,29032,78412,38686,39726,"109Y12M"
65000,新北市,65000170,林口區,48894,121192,58911,62281,"109Y12M"
65000,新北市,65000180,深坑區,9796,23723,11850,11873,"109Y12M"
65000,新北市,65000190,石碇區,3402,7565,4130,3435,"109Y12M"
65000,新北市,65000200,坪林區,2547,6703,3649,3054,"109Y12M"
65000,新北市,65000210,三芝區,9595,22540,11575,10965,"109Y12M"
65000,新北市,65000220,石門區,4239,11480,5973,5507,"109Y12M"
65000,新北市,65000230,八里區,15554,39741,19801,19940,"109Y12M"
65000,新北市,65000240,平溪區,2252,4424,2473,1951,"109Y12M"
65000,新北市,65000250,雙溪區,3731,8468,4592,3876,"109Y12M"
65000,新北市,65000260,貢寮區,4358,11782,6025,5757,"109Y12M"
65000,新北市,65000270,金山區,7194,21127,10394,10733,"109Y12M"
65000,新北市,65000280,萬里區,7538,21710,10865,10845,"109Y12M"
65000,新北市,65000290,烏來區,1916,6416,3131,3285,"109Y12M"
63000,臺北市,63000010,松山區,80954,200316,93573,106743,"109Y12M"
63000,臺北市,63000020,信義區,88952,215240,102171,113069,"109Y12M"
63000,臺北市,63000030,大安區,121152,302644,140899,161745,"109Y12M"
63000,臺北市,63000040,中山區,100790,223876,103720,120156,"109Y12M"
