收容所編號,名稱,縣市,鄉鎮,村里,門牌地址,類型,水災,震災,土石流,海嘯,救濟支站,無障礙設施,室內,室外,服務里別,容納人數,收容所面積（平方公尺）,聯絡人姓名,聯絡人連絡電話,管理人姓名,管理人連絡電話,備考,完整地址
SA100-0002,臺北市立螢橋國民中學,臺北市,中正區,林興里,汀州路三段四號,學校,Y,備用,N,N,Y,Y,Y,N,板溪里、網溪里、螢圃里、林興里、河堤里、頂東里、文盛里、富水里、水源里,52,209,黃君宜,02-23688667#500,陳錦謀,02-23688667#100,,臺北市中正區林興里汀州路三段四號
SA100-0003,臺北市立大學附設實驗國民小學,臺北市,中正區,黎明里,公園路29號,學校,Y,Y,N,N,Y,Y,Y,N,黎明里、建國里、新營里、龍福里,157,1062,羅傑,02-23110395#840,吳家瑞,02-23110395#800,,臺北市中正區黎明里公園路29號
SA100-0004,臺北市立弘道國民中學,臺北市,中正區,建國里,公園路21號,學校,Y,Y,N,N,Y,Y,Y,N,光復里、建國里、黎明里、東門里、龍福里、幸福里、文北里,130,520,曾正一,02-23715520#500,唐廷俊,02-23715520#100,,臺北市中正區建國里公園路21號
SA100-0005,二二八和平公園,臺北市,中正區,黎明里,凱達格蘭大道3號,公園/綠地,Y,Y,N,N,N,Y,N,Y,全區,5424,21696,陳煌耀,02-23032451,陳煌耀,02-23032451,,臺北市中正區黎明里凱達格蘭大道3號
SA100-0006,臺北市中正運動中心,臺北市,中正區,東門里,信義路一段1號,體育場館/運動中心,Y,備用,N,N,Y,N,Y,N,東門里、文祥里、三愛里、文北里,250,2457.96,陳泓維,02-25702330#6425,陳凱頻,02-25702330#6425,,臺北市中正區東門里信義路一段1號
SA100-0007,臺北市立中正國民中學,臺北市,中正區,新營里,愛國東路158號,學校,Y,備用,N,N,Y,Y,Y,N,新營里、文祥里、文北里、南福里,300,1800,蔡宜芬,02-23916697#501,林泰安,02-23916697#101,,臺北市中正區新營里愛國東路158號
SA100-0008,臺北市立第一女子高級中學,臺北市,中正區,建國里,重慶南路一段165號,學校,Y,備用,N,N,Y,Y,Y,N,光復里、黎明里、建國里,60,500,賴祝宏,02-23820484#600,陳智源,02-23820484#200,,臺北市中正區建國里重慶南路一段165號
SA100-0009,臺北市立古亭國民中學,臺北市,中正區,永功里,中華路二段465號,學校,Y,備用,N,N,Y,Y,Y,N,永昌里、螢雪里、永功里、忠勤里、龍興里,60,1200,顏錦江,02-23090986#510,莊豐兆,02-23090986#101,,臺北市中正區永功里中華路二段465號
SA100-0010,臺北市立成功高級中學,臺北市,中正區,幸福里,濟南路一段71號,學校,Y,備用,N,N,Y,Y,Y,N,幸福里、文北里,31,300,連育賢,23216256#231,劉晶晶,23216256#201,,臺北市中正區幸福里濟南路一段71號
SA100-0011,臺北市中正區忠孝國民小學,臺北市,中正區,梅花里,忠孝東路二段101號,學校,N,備用,N,N,Y,Y,Y,N,幸福里、幸市里、梅花里,30,54,宋志倫,02-23918170#831,李亦欣,02-23918170#800,,臺北市中正區梅花里忠孝東路二段101號
SA100-0012,臺北市中正區東門國民小學,臺北市,中正區,東門里,仁愛路一段2-4號,學校,Y,備用,N,N,Y,Y,Y,N,東門里、文北里、文祥里、梅花里、新營里、幸福里、南福里、三愛里,100,400,陳幸岑,02-23412822#23,簡邑容,02-23412822#11,,臺北市中正區東門里仁愛路一段2-4號
SA100-0013,臺北市中正區河堤國民小學,臺北市,中正區,河堤里,汀州路二段180號,學校,Y,備用,N,N,Y,Y,Y,N,河堤里、頂東里、板溪里、網溪里、螢圃里,72,216,陳昱至,02-23677144#831,楊淑惠,02-23677144#888,,臺北市中正區河堤里汀州路二段180號
SA100-0014,臺北市中正區南門國民小學,臺北市,中正區,南門里,廣州街6號,學校,Y,備用,N,N,Y,Y,Y,N,愛國里、南門里、廈安里,30,100,鄭志祥,02-23715052#401,李嗣蕙,02-23753225,,臺北市中正區南門里廣州街6號
SA100-0015,臺北市立南門國民中學,臺北市,中正區,南門里,廣州街6號,學校,Y,備用,N,N,Y,Y,Y,N,南門里、愛國里、龍光里、龍興里、南福里、永功里、廈安里、龍福里,151,1512,楊鈞媛,02-23142775#361,劉增銘,02-23142775#328,,臺北市中正區南門里廣州街6號
SA100-0016,臺北市立建國高級中學,臺北市,中正區,龍光里,南海路56號,學校,N,備用,N,N,Y,Y,Y,N,龍光里、龍興里、南福里,300,2609,張佑頴,02-23034381#501,莊智鈞,02-23034381#101,,臺北市中正區龍光里南海路56號
SA100-0017,臺北市國語實驗國民小學,臺北市,中正區,龍光里,南海路58號,學校,N,備用,N,N,Y,Y,Y,N,龍光里、龍興里、廈安里、龍福里、永功里,49,1442.23,許詩玉,02-23033555#500,吳智亭,02-23033555#100,,臺北市中正區龍光里南海路58號
SA100-0018,臺北市中正區螢橋國民小學,臺北市,中正區,螢雪里,詔安街29號,學校,Y,備用,N,N,Y,Y,Y,N,螢雪里、永功里、永昌里、南福里、螢圃里,303,500,賴維政,02-23054620#109,莊訪祺,02-23054620#100,,臺北市中正區螢雪里詔安街29號
SA100-0019,中正紀念堂站,臺北市,中正區,龍福里,臺北市中正區羅斯福路1段8之1號B1,捷運站體,Y,N,N,N,Y,Y,Y,N,全區,1974,7897,臺北捷運公司值班站長,25505600#4112,臺北捷運公司值班站長,25505600#4112,,臺北市中正區羅斯福路1段8之1號B1
SA100-0020,古亭站,臺北市,中正區,頂東里,臺北市中正區羅斯福路2段164之1號B1,捷運站體,Y,N,N,N,Y,Y,Y,N,全區,1828,7315,臺北捷運公司值班站長,25505600#5102,臺北捷運公司值班站長,25505600#5102,,臺北市中正區羅斯福路2段164之1號B1
SA100-0021,台大醫院站,臺北市,中正區,黎明里,臺北市中正區公園路52號B1,捷運站體,Y,N,N,N,Y,Y,Y,N,全區,1044,4176,臺北捷運公司值班站長,25505600#4122,臺北捷運公司值班站長,25505600#4122,,臺北市中正區公園路52號B1
SA100-0022,臺北市市場處光華數位新天地商場地下停車場,臺北市,中正區,梅花里,臺北市中正區市民大道三段8號,市場/停車場,N,N,N,N,Y,Y,Y,N,全區,375,1500,市場處市場科蘇育正,02-2550-5220#2148,市場處市場科蘇育正,02-2550-5220#2148,,臺北市中正區市民大道三段8號
SA100-0023,西門站,臺北市,中正區,建國里,臺北市中正區寶慶路32之1號B1,捷運站體,Y,N,N,N,Y,Y,Y,N,全區,2974,11898,臺北捷運公司值班站長,25505600#6062,臺北捷運公司值班站長,25505600#6062,,臺北市中正區寶慶路32之1號B1
SA100-0024,臺北市忠義實驗國民小學,臺北市,中正區,忠勤里,臺北市中正區中華路二段307巷17號,學校,N,備用,N,N,N,Y,Y,N,忠勤里,50,200,黃顯欽,02-23038752#231,張家瑜,02-23038752#280,,臺北市中正區中華路二段307巷17號
SA100-0025,臺北市立圖書館王貫英紀念館,臺北市,中正區,頂東里,臺北市中正區汀州路二段265號,圖書館,N,N,N,N,Y,Y,Y,N,頂東里,256,1024,分館主任：姜民,02-23678734,分館主任：姜民,02-23678734,,臺北市中正區汀州路二段265號
