serialnumber,provide_contain,provide_shelter,provide_goods,no,countycode,name,district,areacode,village,address,floor,service_village,contact_person,contact_cellphone,suit_for_weak,person,floorspacebuildingothers,floorspacebuildingfactory,suit_for_flood,suit_for_mudflow,suit_for_eqrthquake,suit_for_tsunami,standing_shelter,longitude,latitude
1,是,是,是,SF220-0002,65000,民生市民活動中心,板橋區,65000010,東丘里,新北市板橋區東丘里民生路一段30-1號1~3樓,民生分館1~3樓,東丘里、九如里、長壽里、居仁里、正泰里、海山里、東安里、民生里、福壽里、富貴里,張美霜(管理人),913953191.0,是,292.0,1170,0.0,是,是,是,是,是,121.476077,25.012755
2,是,是,否,SF220-0003,65000,板橋莊敬市民活動中心　,板橋區,65000010,莊敬里,新北市板橋區莊敬里民生路二段120號1樓,市民活動中心1樓,莊敬里、埤墘里、華江里、介壽里、百壽里,黃素玲(管理人),928206661.0,是,151.0,605,0.0,是,是,是,是,否,121.470779,25.019713
3,是,是,否,SF220-0004,65000,板橋國小,板橋區,65000010,黃石里,新北市板橋區黃石里文化路一段23號,"枋橋樓5樓、體育館1,2樓",留侯里、流芳里、赤松里、黃石里、挹秀里、湳興里、社後里、金華里、自強里、光華里、建國里、光榮里、民權里、民安里、漢生里,王韋欽(組長),926077107.0,是,1112.0,3100,2700.0,是,否,是,否,否,121.458199,25.010806
4,是,是,否,SF220-0005,65000,文德國小,板橋區,65000010,幸福里,新北市板橋區幸福里英士路179號,二聖樓風雨操場、地下室,新翠里、德翠里、新海里、公館里、幸福里、文德里、新生里、金華里、港德里、國光里、漢生里、港尾里,沈淑燕(組長),926156214.0,否,2292.0,5783,6780.0,否,否,是,否,否,121.458694,25.023478
5,是,是,否,SF220-0006,65000,江翠國小,板橋區,65000010,柏翠里,新北市板橋區柏翠里文化路二段413號,人文樓地下室、自在樓地下室、卓越樓地下室,江翠里、純翠里、溪頭里、聯翠里、松翠里、柏翠里、文翠里、青翠里,沈明輝(組長),978207933.0,否,334.0,1114,448.0,否,是,是,是,否,121.474015,25.032202
6,是,是,否,SF220-0007,65000,文聖國小,板橋區,65000010,龍翠里,新北市板橋區龍翠里15鄰文聖街86號,知動教室-至聖樓1樓、故事屋-復聖樓2樓、視聽教室-至聖樓4樓,嵐翠里、文聖里、福翠里、懷翠里、龍翠里、松柏里、港嘴里、松翠里、柏翠里,張思寅(組長),919805572.0,否,595.0,258,4250.0,否,否,是,否,否,121.479805,25.026283
7,是,是,否,SF220-0008,65000,埔墘國小,板橋區,65000010,光仁里,新北市板橋區光仁里永豐街42-8號,綜合大樓4樓活動中心、綜合大樓地下室、視聽教室(八德樓2樓),介壽里、埔墘里、雙玉里、振興里、振義里、廣新里、玉光里、光仁里、西安里、東丘里、民生里、九如里、正泰里、港嘴里、埤墘里、莊敬里,顧琪芳(組長),910019877.0,否,162.0,500,300.0,是,否,是,否,否,121.4742,25.01945
8,是,是,否,SF220-0009,65000,實踐國小,板橋區,65000010,國泰里,新北市板橋區國泰里實踐路93巷51號,松雲樓地下室、竹露樓地下室、荷風樓地下室,民族里、福祿里、福德里、國泰里、後埔里、福丘里,朱廷彩(組長),926666609.0,否,1018.0,3325,1496.0,是,是,是,否,否,121.466392,25.005018
9,是,是,否,SF220-0010,65000,後埔國小,板橋區,65000010,福星里,新北市板橋區福星里重慶路157號,行政大樓5樓活動中心、實踐樓地下1樓韻律教室、行政大樓地下1樓體操室,廣德里、福德里、仁愛里、福星里、大豐里、華興里、鄉雲里、華貴里、華福里、華東里、景星里、重慶里、後埔里、湳興里,杜姿瑩(組長),939906605.0,否,295.0,1180,0.0,是,否,是,否,否,121.462699,25.003346
10,是,是,否,SF220-0011,65000,信義國小,板橋區,65000010,華德里,新北市板橋區華德里四川路2段245巷60號,夢幻樓3-5樓,華德里、信義里、華東里,王辭雅(組長),960713627.0,否,430.0,1224,996.0,否,否,是,否,否,121.45441,24.995579
