category,number,village,address,location,floor,capacity,unit,note
公寓,D101000003,自強里,新北市板橋區自強里自強新村82號,"25.012807,121.45434",B01,66,板橋分局,
公寓,D101000004,自強里,新北市板橋區自強里自強新村73-1號,"25.012911,121.45472",B01,54,板橋分局,
公寓,D101000005,自強里,新北市板橋區自強里自強新村78-1號,"25.012685,121.45474",B01,42,板橋分局,
公寓,D101000009,自強里,新北市板橋區自強里自強新村22-77號,"25.014336,121.45475",B01,57,板橋分局,
公寓,D101000010,自強里,新北市板橋區自強里自強新村57號,"25.013522,121.45459",B01,42,板橋分局,
公寓,D101000011,自強里,新北市板橋區自強里自強新村72號,"25.013221,121.45414",B01,68,板橋分局,
公寓,D101000015,自強里,新北市板橋區自強里自強新村75-1號,"25.012984,121.45431",B01,56,板橋分局,
公寓,D101000016,自強里,新北市板橋區自強里自強新村58號,"25.01355,121.45443",B01,41,板橋分局,
公寓,D101000019,自強里,新北市板橋區自強里自強新村45-46號,"25.013815,121.45473",B01,176,板橋分局,
公寓,D101000020,自強里,新北市板橋區自強里自強新村52號,"25.013694,121.45453",B01,61,板橋分局,
公寓,D101000021,自強里,新北市板橋區自強里自強新村45號,"25.013933,121.45475",B01,176,板橋分局,
公寓,D101000022,自強里,新北市板橋區自強里自強新村63號,"25.013288,121.45457",B01,46,板橋分局,
公寓,D101000023,自強里,新北市板橋區自強里自強新村67號,"25.013383,121.45398",B01,50,板橋分局,
公寓,D101000024,自強里,新北市板橋區自強里自強新村74號,"25.012946,121.45456",B01,91,板橋分局,
公寓,D101000028,自強里,新北市板橋區自強里自強新村53號,"25.013732,121.45435",B01,113,板橋分局,
公寓,D101000030,光榮里,新北市板橋區光榮里南雅西路二段102-106號,"25.011795,121.45231",B01,96,板橋分局,
公寓,D101000033,自強里,新北市板橋區自強里自強新村76號,"25.012975,121.45421",B01,46,板橋分局,
公寓,D101000034,自強里,新北市板橋區自強里自強新村62號,"25.013277,121.45471",B01,53,板橋分局,
公寓,D101000035,自強里,新北市板橋區自強里自強新村88號,"25.012558,121.45433",B01,95,板橋分局,
公寓,D101000037,自強里,新北市板橋區自強里自強新村95號,"25.013232,121.45549",B01,74,板橋分局,
公寓,D101000040,自強里,新北市板橋區自強里自強新村66號,"25.013382,121.45414",B01,54,板橋分局,
公寓,D101000041,自強里,新北市板橋區自強里自強新村66號,"25.013382,121.45414",B01,54,板橋分局,
公寓,D101000044,自強里,新北市板橋區自強里自強新村42號,"25.013872,121.45524",B01,88,板橋分局,
公寓,D101000056,光華里,新北市板橋區光華里光華街4-6號,"25.011375,121.45427",B01,123,板橋分局,
公寓,D101000057,自強里,新北市板橋區自強里自強新村79號,"25.012809,121.4546",B01,43,板橋分局,
公寓,D101000058,漢生里,新北市板橋區漢生里光正街12號,"25.017171,121.46303",B01,200,板橋分局,
中央私人住宅大樓,D101000059,流芳里,新北市板橋區流芳里館前西路139號,"25.00776,121.45636",B01,710,板橋分局,
公寓,D101000063,自立里,新北市板橋區自立里大智街61號,"25.015435,121.45391",B01,293,板橋分局,
公寓,D101000067,社後里,新北市板橋區社後里中正路313號,"25.019804,121.45508",B01,507,板橋分局,
公寓,D101000079,光華里,新北市板橋區光華里光華街24巷4號,"25.012219,121.45428",B01,85,板橋分局,
公寓,D101000080,光華里,新北市板橋區光華里光華街13巷36-38號,"25.011332,121.45296",B01,286,板橋分局,
公寓,D101000083,光華里,新北市板橋區光華里南雅西路二段80-82號,"25.010838,121.45261",B01,92,板橋分局,
公寓,D101000084,光榮里,新北市板橋區光榮里南雅西路二段110巷42號,"25.01337,121.45283",B01,43,板橋分局,
公寓,D101000085,光華里,新北市板橋區光華里光華街15巷37-39號,"25.011509,121.45289",B01,124,板橋分局,
林園天廈,D101000089,光華里,新北市板橋區光華里南雅西路二段2-1號,"25.008954,121.45322",B01,352,板橋分局,
日順府前大廈,D101000091,新興里,新北市板橋區新興里館前西路207號,"25.008352,121.45483",B01,229,板橋分局,
林家花園廣場大廈,D101000093,留侯里,新北市板橋區留侯里府中路171號,"25.009208,121.45483",B01,1724,板橋分局,
公寓,D101000097,光榮里,新北市板橋區光榮里光華街39巷13號,"25.013038,121.45333",B01,56,板橋分局,
公寓,D101000099,漢生里,新北市板橋區漢生里文化路一段215-217號,"25.017093,121.46348",B01,223,板橋分局,
公寓,D101000102,光榮里,新北市板橋區光榮里光華街19巷20-22號,"25.01239,121.45353",B01,121,板橋分局,
板橋高中,D101000104,黃石里,新北市板橋區黃石里文化路一段25號,"25.011684,121.4591",B01,1011,板橋分局,
公寓,D101000106,流芳里,新北市板橋區流芳里大東街30-32號,"25.00894,121.45648",B01,37,板橋分局,
公寓,D101000107,流芳里,新北市板橋區流芳里大東街31號,"25.008811,121.4566",B01,298,板橋分局,
公寓,D101000108,流芳里,新北市板橋區流芳里大東街25-27號,"25.008922,121.45661",B01,706,板橋分局,
公寓,D101000110,民安里,新北市板橋區民安里民權路202巷7弄23號,"25.014936,121.45914",B01,56,板橋分局,
公寓,D101000111,民安里,新北市板橋區民安里民權路202巷7弄25號,"25.014951,121.45908",B01,50,板橋分局,
公寓,D101000112,民安里,新北市板橋區民安里民權路202巷7弄1號,"25.014721,121.46003",B01,43,板橋分局,
公寓,D101000113,民安里,新北市板橋區民安里民權路202巷1弄9-11號,"25.014348,121.45914",B01,34,板橋分局,
私人住宅大樓,D101000114,光華里,新北市板橋區光華里光華街1巷2-8號,"25.011294,121.45399",B01,1092,板橋分局,
